                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                0.79398,                 0.7928,                 1.0914,                0.79514,                0.80512,                0.85182,                0.68095,                0.70247,                 0.6806,                0.99751,                 0.0025,                 0.0025,                 0.0025
                     77,                0.78959,                0.79167,                 1.0873,                0.79311,                0.80633,                0.85194,                0.68139,                0.70161,                0.67989,                0.99681,                 0.0024,                 0.0024,                 0.0024
                     78,                0.78413,                0.78201,                 1.0836,                0.79334,                0.80657,                0.85224,                0.68191,                0.70143,                0.67903,                0.99663,                 0.0023,                 0.0023,                 0.0023
                     79,                0.78391,                0.77925,                  1.086,                0.79478,                0.80593,                 0.8523,                0.68195,                0.70073,                0.67777,                0.99614,                 0.0022,                 0.0022,                 0.0022
                     80,                0.78266,                0.77755,                 1.0846,                0.79172,                0.80948,                0.85235,                0.68221,                0.70001,                0.67684,                0.99554,                 0.0021,                 0.0021,                 0.0021
                     81,                0.77626,                0.76676,                 1.0801,                0.79198,                0.81039,                0.85214,                0.68256,                0.69976,                0.67619,                0.99513,                  0.002,                  0.002,                  0.002
                     82,                0.77408,                0.76857,                 1.0788,                 0.7921,                  0.811,                0.85234,                0.68279,                0.69933,                0.67533,                0.99467,                 0.0019,                 0.0019,                 0.0019
                     83,                0.76812,                0.76182,                 1.0757,                0.79178,                0.81133,                0.85278,                 0.6833,                0.69881,                0.67447,                0.99415,                 0.0018,                 0.0018,                 0.0018
                     84,                0.77227,                0.76171,                 1.0775,                0.79186,                 0.8106,                0.85293,                 0.6837,                0.69825,                0.67336,                0.99373,                 0.0017,                 0.0017,                 0.0017
                     85,                0.76699,                0.76482,                 1.0751,                0.79221,                0.81112,                0.85332,                0.68407,                0.69787,                 0.6726,                0.99317,                 0.0016,                 0.0016,                 0.0016
                     86,                0.76773,                0.75614,                 1.0752,                0.79209,                  0.811,                0.85378,                0.68414,                0.69753,                0.67174,                0.99271,                 0.0015,                 0.0015,                 0.0015
                     87,                0.76145,                0.74772,                 1.0737,                0.79237,                 0.8108,                0.85369,                0.68491,                0.69748,                0.67127,                0.99264,                 0.0014,                 0.0014,                 0.0014
                     88,                0.75646,                0.74122,                 1.0709,                0.79327,                 0.8106,                0.85404,                0.68486,                0.69715,                0.67038,                 0.9923,                 0.0013,                 0.0013,                 0.0013
                     89,                0.75805,                0.74352,                 1.0716,                0.79148,                 0.8114,                0.85386,                0.68558,                0.69666,                0.66941,                0.99188,                 0.0012,                 0.0012,                 0.0012
                     90,                0.75522,                0.73816,                 1.0672,                 0.7907,                0.81161,                0.85418,                0.68575,                0.69648,                0.66873,                0.99181,                 0.0011,                 0.0011,                 0.0011
                     91,                0.67143,                0.62156,                 1.0018,                0.79181,                0.80916,                0.85387,                0.68578,                0.69569,                 0.6678,                0.99128,                  0.001,                  0.001,                  0.001
                     92,                0.65854,                0.60219,                0.99396,                0.79236,                0.80796,                0.85423,                0.68602,                0.69507,                0.66717,                 0.9906,             0.00090001,             0.00090001,             0.00090001
                     93,                0.65379,                0.59777,                0.99192,                0.79188,                0.81025,                0.85484,                0.68624,                0.69468,                0.66604,                0.99041,             0.00080001,             0.00080001,             0.00080001
                     94,                0.64907,                0.59054,                0.98662,                0.79106,                0.81009,                 0.8545,                0.68617,                0.69462,                0.66556,                0.99027,             0.00070001,             0.00070001,             0.00070001
                     95,                0.64237,                0.58597,                0.98426,                0.79141,                0.80999,                0.85457,                0.68657,                0.69416,                0.66454,                0.98999,             0.00060001,             0.00060001,             0.00060001
                     96,                0.64142,                 0.5771,                0.98121,                 0.7924,                0.80857,                0.85462,                0.68666,                0.69383,                0.66318,                0.98954,             0.00050001,             0.00050001,             0.00050001
                     97,                0.63467,                0.57134,                0.97952,                0.79504,                0.80552,                0.85485,                0.68738,                0.69329,                0.66263,                0.98922,             0.00040001,             0.00040001,             0.00040001
                     98,                0.63372,                0.57469,                0.97947,                0.79725,                0.80381,                 0.8549,                0.68774,                0.69307,                0.66203,                0.98908,             0.00030001,             0.00030001,             0.00030001
                     99,                0.62932,                0.56455,                 0.9761,                0.79942,                 0.8039,                0.85523,                0.68805,                0.69278,                0.66173,                0.98895,             0.00020001,             0.00020001,             0.00020001
                    100,                0.62489,                 0.5577,                0.97404,                0.80088,                0.80288,                0.85573,                 0.6885,                0.69265,                0.66134,                0.98896,             0.00010001,             0.00010001,             0.00010001
